QuarterEnd,News_Based_Policy_Uncert_Index
1970-12-31,58.73579406738281
1970-09-30,50.63697306315104
1970-06-30,62.48381805419922
1970-03-31,46.41607157389323
1969-12-31,61.55209477742513
1969-09-30,53.966322580973305
1969-06-30,51.75552495320638
1969-03-31,60.853258768717446
1968-12-31,58.950459798177086
1968-09-30,50.41441090901693
1968-06-30,63.646645863850914
1968-03-31,86.04197184244792
1967-12-31,64.98959477742513
1967-09-30,42.80307133992513
1967-06-30,56.72290293375651
1967-03-31,55.27580134073893
1966-12-31,55.650872548421226
1966-09-30,47.38571294148763
1966-06-30,38.33307393391927
1966-03-31,50.95769373575846
1965-12-31,42.5465342203776
1965-09-30,41.25574493408203
1965-06-30,43.200880686442055
1965-03-31,33.43717384338379
1964-12-31,43.50696563720703
1964-09-30,43.933417002360024
1964-06-30,34.510410944620766
1964-03-31,43.225110371907554
1963-12-31,41.140820821126304
1963-09-30,46.07049051920573
1963-06-30,40.297271728515625
1963-03-31,50.99905904134115
1962-12-31,41.19047546386719
1962-09-30,52.243544260660805
1962-06-30,39.564797719319664
1962-03-31,34.60253461201986
1961-12-31,33.949934005737305
1961-09-30,35.923561096191406
1961-06-30,33.1566359202067
1961-03-31,35.40117581685384
1960-12-31,38.428323109944664
1960-09-30,36.2944590250651
1960-06-30,34.110764821370445
1960-03-31,38.438511530558266
1959-12-31,29.117334365844727
1959-09-30,31.885525385538738
1959-06-30,27.97744305928548
1959-03-31,33.475632985432945
1958-12-31,33.74753506978353
1958-09-30,32.86650085449219
1958-06-30,45.1383908589681
1958-03-31,43.676005045572914
1957-12-31,35.56415812174479
1957-09-30,34.82943471272787
1957-06-30,34.543408711751304
1957-03-31,43.336825688680015
1956-12-31,40.932043711344406
1956-09-30,30.55262056986491
1956-06-30,32.73601786295573
1956-03-31,49.55983098347982
1955-12-31,31.91166623433431
1955-09-30,29.934872309366863
1955-06-30,33.12815475463867
1955-03-31,50.60126241048177
1954-12-31,39.72108586629232
1954-09-30,38.745835622151695
1954-06-30,42.61587397257487
1954-03-31,63.67703501383463
1953-12-31,52.382928212483726
1953-09-30,44.13378651936849
1953-06-30,58.992296854654946
1953-03-31,52.62646611531576
1952-12-31,54.10662714640299
1952-09-30,46.851027170817055
1952-06-30,56.74761962890625
1952-03-31,52.05964660644531
1951-12-31,40.866798400878906
1951-09-30,65.18998463948567
1951-06-30,62.28490193684896
1951-03-31,67.95828247070312
1950-12-31,65.09700266520183
1950-09-30,67.3244120279948
1950-06-30,48.243979136149086
1950-03-31,54.53643798828125
1949-12-31,44.9904899597168
1949-09-30,57.640506744384766
1949-06-30,51.54987589518229
1949-03-31,77.84469604492188
1948-12-31,65.20819473266602
1948-09-30,64.28397750854492
1948-06-30,56.76443354288737
1948-03-31,68.16867319742839
1947-12-31,84.33782450358073
1947-09-30,83.50204467773438
1947-06-30,113.07957712809245
1947-03-31,98.04322560628255
1946-12-31,86.42854309082031
1946-09-30,100.34905751546223
1946-06-30,89.06773885091145
1946-03-31,96.38461049397786
1945-12-31,111.52954355875652
1945-09-30,131.50040181477866
1945-06-30,91.48583730061848
1945-03-31,81.9963887532552
1944-12-31,103.17122395833333
1944-09-30,91.57876586914062
1944-06-30,102.01487731933594
1944-03-31,85.42460378011067
1943-12-31,93.2692133585612
1943-09-30,108.74178314208984
1943-06-30,116.81447855631511
1943-03-31,115.9978764851888
1942-12-31,124.66897328694661
1942-09-30,143.49655151367188
1942-06-30,147.2340520222982
1942-03-31,131.83519744873047
1941-12-31,113.95204162597656
1941-09-30,99.05020395914714
1941-06-30,103.8096211751302
1941-03-31,128.41279093424478
1940-12-31,125.31317138671875
1940-09-30,145.96505482991537
1940-06-30,150.59440104166666
1940-03-31,133.18756357828775
1939-12-31,135.72417704264322
1939-09-30,134.21793619791666
1939-06-30,119.73845926920573
1939-03-31,109.39556884765625
1938-12-31,112.49634552001953
1938-09-30,125.40471903483073
1938-06-30,136.49284871419272
1938-03-31,155.81732686360678
1937-12-31,145.36325327555338
1937-09-30,121.63850148518883
1937-06-30,115.57047526041667
1937-03-31,104.43856302897136
1936-12-31,86.81223042805989
1936-09-30,96.06440734863281
1936-06-30,141.86080932617188
1936-03-31,147.7876993815104
1935-12-31,129.20321400960287
1935-09-30,140.88573455810547
1935-06-30,178.47839864095053
1935-03-31,199.27250162760416
1934-12-31,141.7153778076172
1934-09-30,142.16781870524088
1934-06-30,148.35689798990884
1934-03-31,126.78676859537761
1933-12-31,124.02951049804688
1933-09-30,80.54390207926433
1933-06-30,122.18733215332031
1933-03-31,116.9020767211914
1932-12-31,143.88375854492188
1932-09-30,84.35269673665364
1932-06-30,156.88026428222656
1932-03-31,108.77223205566406
1931-12-31,79.04409662882487
1931-09-30,63.351783752441406
1931-06-30,67.13602701822917
1931-03-31,73.23730977376302
1930-12-31,66.30551528930664
1930-09-30,57.67147318522135
1930-06-30,65.62305196126302
1930-03-31,69.10654703776042
1929-12-31,63.630523681640625
1929-09-30,67.50188700358073
1929-06-30,76.44092305501302
1929-03-31,77.08507792154948
1928-12-31,53.371716817220054
1928-09-30,64.17891947428386
1928-06-30,47.15349197387695
1928-03-31,52.005026499430336
1927-12-31,54.82858530680338
1927-09-30,57.834546407063804
1927-06-30,54.05058034261068
1927-03-31,50.74602381388346
1926-12-31,68.44921366373698
1926-09-30,64.67404301961263
1926-06-30,49.47813415527344
1926-03-31,50.0850461324056
1925-12-31,63.25652949015299
1925-09-30,48.26722971598307
1925-06-30,60.890734354654946
1925-03-31,63.754225413004555
1924-12-31,94.32723999023438
1924-09-30,72.6975835164388
1924-06-30,99.02620188395183
1924-03-31,72.64825057983398
1923-12-31,65.21352259318034
1923-09-30,71.8718032836914
1923-06-30,62.81447982788086
1923-03-31,61.69841639200846
1922-12-31,52.13759231567383
1922-09-30,66.67247263590495
1922-06-30,61.603284200032554
1922-03-31,69.00141906738281
1921-12-31,64.62947082519531
1921-09-30,93.08722686767578
1921-06-30,72.49840799967448
1921-03-31,56.627620697021484
1920-12-31,60.9888801574707
1920-09-30,66.0772705078125
1920-06-30,64.93308893839519
1920-03-31,61.96190643310547
1919-12-31,97.48795064290364
1919-09-30,99.13397471110027
1919-06-30,92.81936136881511
1919-03-31,129.85482788085938
1918-12-31,146.60179901123047
1918-09-30,98.18663024902344
1918-06-30,101.6917953491211
1918-03-31,108.75820668538411
1917-12-31,92.54751841227214
1917-09-30,108.79248555501302
1917-06-30,75.53506596883138
1917-03-31,64.95881525675456
1916-12-31,71.66227213541667
1916-09-30,73.50835037231445
1916-06-30,85.85437520345052
1916-03-31,88.08429718017578
1915-12-31,84.5015869140625
1915-09-30,104.90619659423828
1915-06-30,88.68565368652344
1915-03-31,109.43811798095703
1914-12-31,88.80661010742188
1914-09-30,138.8823216756185
1914-06-30,86.58887481689453
1914-03-31,78.80914942423503
1913-12-31,102.65321095784505
1913-09-30,80.80086263020833
1913-06-30,89.21991475423177
1913-03-31,76.04061381022136
1912-12-31,70.70267105102539
1912-09-30,52.20287958780924
1912-06-30,45.916238149007164
1912-03-31,63.03588994344076
1911-12-31,72.58547719319661
1911-09-30,63.18773523966471
1911-06-30,75.69033813476562
1911-03-31,63.515448252360024
1910-12-31,66.89439392089844
1910-09-30,59.326394399007164
1910-06-30,69.78796768188477
1910-03-31,73.87930043538411
1909-12-31,60.53041076660156
1909-09-30,68.36590830485027
1909-06-30,73.69187672932942
1909-03-31,105.14428456624348
1908-12-31,67.87795511881511
1908-09-30,40.96770350138346
1908-06-30,64.6914431254069
1908-03-31,68.87001037597656
1907-12-31,50.96627426147461
1907-09-30,55.49776840209961
1907-06-30,47.40167999267578
1907-03-31,39.89495722452799
1906-12-31,55.95623906453451
1906-09-30,51.13618723551432
1906-06-30,61.2509765625
1906-03-31,61.11754480997721
1905-12-31,72.96249008178711
1905-09-30,60.69347254435221
1905-06-30,58.29093805948893
1905-03-31,70.65521494547527
1904-12-31,63.189910888671875
1904-09-30,79.31158065795898
1904-06-30,69.01271184285481
1904-03-31,77.65980529785156
1903-12-31,61.058712005615234
1903-09-30,57.9051259358724
1903-06-30,56.532788594563804
1903-03-31,66.63262557983398
1902-12-31,87.62041727701823
1902-09-30,46.75418217976888
1902-06-30,68.18900680541992
1902-03-31,71.3087043762207
1901-12-31,107.38672383626302
1901-09-30,78.77469889322917
1901-06-30,81.2587381998698
1901-03-31,103.71760813395183
1900-12-31,87.59547170003255
1900-09-30,98.09842173258464
1900-06-30,93.28679911295573
1900-03-31,142.5154571533203
